Time Horizon,Event / State,THA (n),THA (%),ORIF (n),ORIF (%)
90 days,Stable well state,843.1415162559895,84.31415162559894,458.2360616941359,45.823606169413594
90 days,Death,91.13652721776356,9.113652721776356,84.1682421033324,8.416824210333239
90 days,Medical complications,34.77195652624698,3.4771956526246983,355.0,35.5
90 days,Infection-related events,14.3,1.43,42.64,4.264
90 days,Dislocation events,14.6,1.46,6.0,0.6
90 days,Revision events,0.0,0.0,0.0,0.0
90 days,Conversion THA,0.0,0.0,16.455696202531648,1.6455696202531649
90 days,ORIF reoperations,0.0,0.0,35.0,3.5
90 days,Refracture/periprosthetic fracture events,0.5500000000000002,0.055000000000000014,2.5,0.25
1 year,Stable well state,781.0300080894775,78.10300080894775,768.6598514766667,76.86598514766668
1 year,Death,150.43656178382471,15.04365617838247,182.5779883089868,18.25779883089868
1 year,Medical complications,120.99131956079616,12.099131956079617,355.0,35.5
1 year,Infection-related events,18.349957888242436,1.8349957888242436,48.932803168345416,4.893280316834542
1 year,Dislocation events,30.603674116616197,3.0603674116616197,8.459830667112948,0.8459830667112948
1 year,Revision events,13.78027885983132,1.3780278859831319,0.05476736160562291,0.005476736160562291
1 year,Conversion THA,0.0,0.0,26.057790734944568,2.605779073494457
1 year,ORIF reoperations,0.0,0.0,107.60700775575212,10.760700775575213
1 year,Refracture/periprosthetic fracture events,1.9137613297142897,0.19137613297142897,7.51434048325866,0.751434048325866
2 years,Stable well state,776.3801492606159,77.63801492606159,750.6601139135607,75.06601139135608
2 years,Death,166.38150582304505,16.638150582304505,197.39129003488424,19.739129003488422
2 years,Medical complications,120.99131956079616,12.099131956079617,355.0,35.5
2 years,Infection-related events,21.058217701223047,2.1058217701223048,52.78721983033533,5.278721983033534
2 years,Dislocation events,49.67415720338469,4.967415720338469,9.244460293280238,0.9244460293280238
2 years,Revision events,28.007448896150986,2.800744889615099,0.38680863157925327,0.03868086315792533
2 years,Conversion THA,0.0,0.0,38.96802169476978,3.8968021694769783
2 years,ORIF reoperations,0.0,0.0,152.56899817599603,15.256899817599603
2 years,Refracture/periprosthetic fracture events,3.6511973677571556,0.3651197367757156,7.574564214751091,0.757456421475109
5 years,Stable well state,685.695253515086,68.5695253515086,712.2491561756168,71.22491561756168
5 years,Death,212.0200452388268,21.20200452388268,240.05895816403333,24.00589581640333
5 years,Medical complications,120.99131956079616,12.099131956079617,355.0,35.5
5 years,Infection-related events,30.091557933652336,3.0091557933652333,64.20861328005337,6.420861328005337
5 years,Dislocation events,122.88968674408727,12.288968674408727,12.760840075071057,1.2760840075071058
5 years,Revision events,71.64245881896305,7.164245881896305,2.095707216071714,0.20957072160717138
5 years,Conversion THA,0.0,0.0,44.62787856826435,4.462787856826435
5 years,ORIF reoperations,0.0,0.0,185.66244983508003,18.566244983508003
5 years,Refracture/periprosthetic fracture events,8.494834023632876,0.8494834023632876,7.818313546598581,0.7818313546598581
10 years,Stable well state,529.5047888439703,52.95047888439703,610.18210491639,61.018210491639
10 years,Death,318.450290170119,31.8450290170119,340.6862360011626,34.06862360011626
10 years,Medical complications,120.99131956079616,12.099131956079617,355.0,35.5
10 years,Infection-related events,46.96167246682964,4.696167246682964,81.60071709165626,8.160071709165626
10 years,Dislocation events,285.30511255099117,28.530511255099118,21.428128301739317,2.1428128301739315
10 years,Revision events,152.21418293447326,15.221418293447327,6.009931247761028,0.6009931247761027
10 years,Conversion THA,0.0,0.0,53.11808561640597,5.311808561640597
10 years,ORIF reoperations,0.0,0.0,235.32760198697116,23.532760198697115
10 years,Refracture/periprosthetic fracture events,15.184510951180199,1.51845109511802,8.227068052401682,0.8227068052401683
