Time Horizon,Arm,Stable well state (n),Stable well state (%),Death (n),Death (%),Total cost (USD),Per-patient cost (USD),Total QALYs,Per-patient QALYs,Medical complications,Infection-related events,Dislocation events,Revision events,Conversion THA,ORIF reoperations,Refracture/periprosthetic fracture events
90 days,THA,843.1415162559895,84.31415162559894,91.13652721776356,9.113652721776356,42293541.057023615,42293.54105702361,202.5,0.2025,34.77195652624698,14.3,14.6,0.0,0.0,0.0,0.5500000000000002
90 days,ORIF,458.2360616941359,45.823606169413594,84.1682421033324,8.416824210333239,56369596.80050633,56369.59680050633,185.0,0.185,355.0,42.64,6.0,0.0,16.455696202531648,35.0,2.5
1 year,THA,781.0300080894775,78.10300080894775,150.43656178382471,15.04365617838247,44697964.45412915,44697.96445412915,730.6785538124216,0.7306785538124215,120.99131956079616,18.349957888242436,30.603674116616197,13.78027885983132,0.0,0.0,1.9137613297142897
1 year,ORIF,768.6598514766667,76.86598514766668,182.5779883089868,18.25779883089868,60535397.835224174,60535.397835224176,637.960204142742,0.637960204142742,355.0,48.932803168345416,8.459830667112948,0.05476736160562291,26.057790734944568,107.60700775575212,7.51434048325866
2 years,THA,776.3801492606159,77.63801492606159,166.38150582304505,16.638150582304505,45807669.51674585,45807.66951674585,1406.4262866711267,1.4064262866711268,120.99131956079616,21.058217701223047,49.67415720338469,28.007448896150986,0.0,0.0,3.6511973677571556
2 years,ORIF,750.6601139135607,75.06601139135608,197.39129003488424,19.739129003488422,63463480.123191126,63463.480123191126,1233.1816915749723,1.2331816915749723,355.0,52.78721983033533,9.244460293280238,0.38680863157925327,38.96802169476978,152.56899817599603,7.574564214751091
5 years,THA,685.695253515086,68.5695253515086,212.0200452388268,21.20200452388268,49528585.95351132,49528.58595351132,3357.436364140588,3.357436364140588,120.99131956079616,30.091557933652336,122.88968674408727,71.64245881896305,0.0,0.0,8.494834023632876
5 years,ORIF,712.2491561756168,71.22491561756168,240.05895816403333,24.00589581640333,65798336.910619825,65798.33691061982,2972.778069622771,2.972778069622771,355.0,64.20861328005337,12.760840075071057,2.095707216071714,44.62787856826435,185.66244983508003,7.818313546598581
10 years,THA,529.5047888439703,52.95047888439703,318.450290170119,31.8450290170119,57092444.08056606,57092.44408056606,6280.114253609045,6.280114253609045,120.99131956079616,46.96167246682964,285.30511255099117,152.21418293447326,0.0,0.0,15.184510951180199
10 years,ORIF,610.18210491639,61.018210491639,340.6862360011626,34.06862360011626,69444749.07402484,69444.74907402485,5607.501854631557,5.607501854631557,355.0,81.60071709165626,21.428128301739317,6.009931247761028,53.11808561640597,235.32760198697116,8.227068052401682
